gene	top_cluster	max_avg_expr
Xcl1	g10	3.65074304102659
Fcer1g	g7	34.0487910649626
Fcer1a	g25	5.76907804496805
Slc12a1	g20	43.2211440989344
Foxp3	g5	0.224515913240099
Emcn	g6	24.3752484887113
Atp6v0d2	g12	7.44820628669802
C1qb	g19	37.5393792717565
C1qa	g19	39.3311264187571
Trpv5	g8	1.25228778758934
Cd8b1	g9	10.9190936018637
Cd8a	g9	5.16621895331933
Il17re	g14	1.36228708669095
Ncr1	g10	9.58907613279207
Cd79a	g17	14.3887275909401
Nphs1	g24	21.6322114475902
Siglech	g26	14.363559680226
Cox6a2	g26	13.9537493202921
Hmx2	g15	13.8777224308779
Cd209a	g23	5.89510359510667
Plvap	g6	1.57219365650283
Slc12a3	g0	100.105910938977
Mcpt8	g25	7.3838266917974
Cd3e	g22	6.93218210374674
Tcf7	g1	4.79716376143075
Clec10a	g23	2.22242120979165
Ccl5	g9	282.489562346133
Ccl4	g25	46.5024983569758
Cd79b	g17	11.0636385749462
Cd300c	g26	2.33409889850482
Cd7	g25	14.5146715027118
F13a1	g7	2.25564209842452
Gzma	g10	94.0122274337043
Il7r	g22	8.4478378701416
Aqp2	g8	44.8084667606243
Aqp6	g11	18.9995258117092
Cd200r3	g25	5.81383685185375
Ccr6	g14	3.39252358430971
